cdpdodecg[c];cpd15421
cdpdodec11eg[c];cpd15420
ru5p_D[c];cpd00171
db4p[c];cpd11225
dctp[c];cpd00356
dutp[c];cpd00358
e4p[c];cpd00236
pep[c];cpd00061
2dda7p[c];cpd02857
dgmp[c];cpd00296
dgdp[c];cpd00295
23dhmb[c];cpd02498
3mob[c];cpd00123
23dhmp[c];cpd02535
3mop[c];cpd00508
23dhdp[c];cpd02120
thdp[c];cpd02465
dhf[c];cpd00330
dhpt[c];cpd00683
dhnpt[c];cpd02961
2ahhmp[c];cpd00954
gcald[c];cpd00229
dhor_S[c];cpd00282
orot[c];cpd00247
2dhphaccoa[c];cpd16740
3hadpcoa[c];cpd09844
h2[c];cpd11640
25dhpp[c];cpd00957
dhbpt[c];cpd00231
thbpt[c];cpd00233
3dhq[c];cpd00699
3dhsk[c];cpd01716
lys_D[c];cpd00549
6a2ohxnt[c];cpd02074
glu_D[c];cpd00186
dmpp[c];cpd00202
ipdp[c];cpd00113
grdp[c];cpd00283
dhpmp[c];cpd03521
ahdt[c];cpd02978
dpcoa[c];cpd00655
C100mclPHA[c];cpd16744
mclPHAg[c];cpd16752
C120mclPHA[c];cpd16745
C121mclPHA[c];cpd16746
C140mclPHA[c];cpd16747
C141mclPHA[c];cpd16748
C60mclPHA[c];cpd16749
C80mclPHA[c];cpd16750
2dhp[c];cpd00712
pant_R[c];cpd00408
dtmp[c];cpd00298
dtdp[c];cpd00297
56dura[c];cpd00337
dump[c];cpd00299
dxyl5p[c];cpd08289
2me4p[c];cpd08286
g3p[c];cpd00102
lac_D[p];cpd00221
lac_D[c];cpd00221
4per[c];cpd02147
3hbcoa[c];cpd00842
3hhcoa[c];cpd03122
3hocoa[c];cpd03120
3hdcoa[c];cpd03118
3hddcoa[c];cpd03116
3htdcoa[c];cpd03115
3hhdcoa[c];cpd03113
2ddg6p[c];cpd02711
6pgc[c];cpd00284
2pg[c];cpd00482
ethso3[p];cpd11579
ethso3[c];cpd11579
ethso3[e];cpd11579
dca[p];cpd01107
ddca[p];cpd01741
ttdca[p];cpd03847
hdca[p];cpd00214
hxa[p];cpd01113
octa[p];cpd03846
fald[c];cpd00055
cytcc[c];cpd00410
fdp[c];cpd00290
dhap[c];cpd00095
f6p[c];cpd00072
fe2[c];cpd00021
ppp9[c];cpd01476
pheme[c];cpd00028
ferulcoa[c];cpd00321
vanln[c];cpd00561
fmnh2[c];cpd01270
isetac[c];cpd03048
fmn[c];cpd00050
mso3[c];cpd08023
pentso3[c];cpd16742
ptal[c];cpd15621
taur[c];cpd00210
aacald[c];cpd04122
fe2[e];cpd00021
mettrna[c];cpd12105
fmettrna[c];cpd12285
2ahhmd[c];cpd02920
forglu[c];cpd00344
Nforglu[c];cpd00770
f1p[c];cpd00802
fru[e];cpd00082
mal_L[c];cpd00130
4fumacac[c];cpd00780
fum[p];cpd00106
gam1p[c];cpd03671
acgam1p[c];cpd02611
glu1sa[c];cpd02345
5aop[c];cpd00338
glyc3p[c];cpd00080
glu5p[c];cpd02097
glu5sa[c];cpd00858
g6p_B[c];cpd00863
6pgl[c];cpd00911
g6p[c];cpd00079
ga[c];cpd01020
omaketo[c];cpd16739
glcn[p];cpd00222
g1p[c];cpd00089
udpg[c];cpd00026
13dpg[c];cpd00203
gar[c];cpd02394
fgam[c];cpd02678
gdbtal[c];cpd01723
4gudbutn[c];cpd00762
gam6p[c];cpd00288
ser_L[c];cpd00054
gly[c];cpd00033
mlthf[c];cpd00125
glc_D[p];cpd00027
h2o[p];cpd00001
glcn[c];cpd00222
S_gtrdhdlp[c];cpd03672
glutcoa[c];cpd00413
glc_D[c];cpd00027
glc_D[e];cpd00027
glutrna_gln_[c];cpd12828
glntrna[c];cpd12060
trnagln[c];cpd11911
glucys[c];cpd00506
pram[c];cpd01982
glutrna[c];cpd12227
trnaglu[c];cpd11912
glu_L[p];cpd00023
na1[p];cpd00971
na1[c];cpd00971
glu_L[e];cpd00023
glx[c];cpd00040
2h3oppan[c];cpd00145
glyald[p];cpd00448
glyald[c];cpd00448
glyb[p];cpd00540
glyc_R[c];cpd00223
3pg[c];cpd00169
glyclt[p];cpd00139
glyclt[c];cpd00139
glyc[e];cpd00100
glyc[c];cpd00100
hpyr[c];cpd00145
trnagly[c];cpd11913
glytrna[c];cpd12100
gly[p];cpd00033
gly[e];cpd00033
xmp[c];cpd00497
gsn[c];cpd00311
gua[c];cpd00207
rib_D[c];cpd00105
frdp[c];cpd00350
gthox[c];cpd00111
gthrd[c];cpd00042
gdptp[c];cpd02740
ppgpp[c];cpd00905
xan[c];cpd00309
h2co3[c];cpd00242
3ohcoa[c];cpd03123
3oocoa[c];cpd03121
3odcoa[c];cpd03119
3oddcoa[c];cpd03117
3otdcoa[c];cpd12689
3ohdcoa[c];cpd03114
hemeO[c];cpd11313
4mlacac[c];cpd00763
3hmp[c];cpd00876
mmtsa[c];cpd19044
his_L[c];cpd00119
urcan[c];cpd00581
histd[c];cpd00641
hisp[c];cpd00807
trnahis[c];cpd11914
histrna[c];cpd12228
his_L[p];cpd00119
his_L[e];cpd00119
ppbng[c];cpd00689
hmbil[c];cpd00755
hmgcoa[c];cpd00292
4ahmmp[c];cpd00939
hom_L[c];cpd00227
achms[c];cpd00790
phom[c];cpd00809
imacp[c];cpd00930
hxan[c];cpd00226
icit[p];cpd00260
icit[e];cpd00260
prlp[c];cpd02991
eig3p[c];cpd02843
2cpr5p[c];cpd00956
3ig3p[c];cpd02210
ile_L[c];cpd00322
trnaile[c];cpd11915
